,Unnamed: 0,time_close,price_close,volume_traded,trades_count,date_time,sin_hour,cos_hour,sin_day,cos_day,sin_month,cos_month
10000,48734,2020-07-27T01:59:57.4150090Z,10093.72,2872.778307876,12658,2020-07-27 01:59:57,0.2588190451025207,0.9659258262890684,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10001,48735,2020-07-27T02:59:59.5061680Z,10066.1,1463.133303127,8228,2020-07-27 02:59:59,0.4999999999999999,0.8660254037844387,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10002,48736,2020-07-27T03:59:59.8970000Z,10263.3,5496.399967919,18816,2020-07-27 03:59:59,0.7071067811865475,0.7071067811865476,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10003,48737,2020-07-27T04:59:58.7880000Z,10214.16,3067.649911899,13332,2020-07-27 04:59:58,0.8660254037844386,0.5000000000000001,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10004,48738,2020-07-27T05:59:57.4620000Z,10302.3,1930.224533548,9294,2020-07-27 05:59:57,0.9659258262890684,0.2588190451025207,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10005,48739,2020-07-27T06:59:59.2229060Z,10286.37,1505.049354203,8181,2020-07-27 06:59:59,1.0,6.123233995736766e-17,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10006,48740,2020-07-27T07:59:59.6260000Z,10162.7,2256.151191476,8170,2020-07-27 07:59:59,0.9659258262890684,-0.2588190451025206,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10007,48741,2020-07-27T08:59:59.4540000Z,10178.65,1463.147145269,7252,2020-07-27 08:59:59,0.8660254037844388,-0.4999999999999998,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10008,48742,2020-07-27T09:59:58.7620000Z,10255.6,1327.56709451,5741,2020-07-27 09:59:58,0.7071067811865476,-0.7071067811865475,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10009,48743,2020-07-27T10:59:58.1295990Z,10270.34,1378.740636219,5834,2020-07-27 10:59:58,0.4999999999999999,-0.8660254037844387,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10010,48744,2020-07-27T11:59:59.8080390Z,10268.45,1843.45764875,8951,2020-07-27 11:59:59,0.258819045102521,-0.9659258262890682,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10011,48745,2020-07-27T12:59:59.9280000Z,10301.35,2179.401835443,8556,2020-07-27 12:59:59,1.2246467991473532e-16,-1.0,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10012,48746,2020-07-27T13:59:59.8910000Z,10373.67,3629.256175308,14518,2020-07-27 13:59:59,-0.2588190451025208,-0.9659258262890684,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10013,48747,2020-07-27T14:59:59.7217240Z,10431.1,4136.07603054,15609,2020-07-27 14:59:59,-0.4999999999999998,-0.8660254037844388,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10014,48748,2020-07-27T15:59:59.4191470Z,10309.22,3433.247212629,15995,2020-07-27 15:59:59,-0.7071067811865471,-0.7071067811865479,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10015,48749,2020-07-27T16:59:59.9958160Z,10744.17,8240.452359962,28994,2020-07-27 16:59:59,-0.8660254037844384,-0.5000000000000004,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10016,48750,2020-07-27T17:59:59.5447620Z,10889.5,9824.671659393,35808,2020-07-27 17:59:59,-0.9659258262890684,-0.2588190451025206,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10017,48751,2020-07-27T18:59:59.8690000Z,10850.67,4616.000759715,19921,2020-07-27 18:59:59,-1.0,-1.8369701987210294e-16,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
10018,48752,2020-07-27T19:59:59.5136070Z,10804.85,2800.648702636,14024,2020-07-27 19:59:59,-0.9659258262890684,0.2588190451025203,-0.5877852522924732,0.8090169943749473,-0.4999999999999998,-0.8660254037844388
