,Unnamed: 0,time_close,price_close,volume_traded,trades_count,date_time,sin_hour,cos_hour,sin_day,cos_day,sin_month,cos_month,year
0,0,2015-01-01T02:59:27.3230000Z,317.87,172.54540574,238,2015-01-01 02:59:27,0.4999999999999999,0.8660254037844387,0.2079116908177593,0.9781476007338056,0.4999999999999999,0.8660254037844387,2015
1,1,2015-01-01T05:35:13.2770000Z,313.98,837.8505649,419,2015-01-01 05:35:13,0.9659258262890684,0.2588190451025207,0.2079116908177593,0.9781476007338056,0.4999999999999999,0.8660254037844387,2015
2,2,2015-01-01T08:52:13.5300000Z,316.27,148.67882361,159,2015-01-01 08:52:13,0.8660254037844388,-0.4999999999999998,0.2079116908177593,0.9781476007338056,0.4999999999999999,0.8660254037844387,2015
3,3,2015-01-01T11:57:34.0700000Z,315.57,530.37425301,393,2015-01-01 11:57:34,0.258819045102521,-0.9659258262890682,0.2079116908177593,0.9781476007338056,0.4999999999999999,0.8660254037844387,2015
4,4,2015-01-01T14:59:52.0400000Z,315.12,362.29114157,261,2015-01-01 14:59:52,-0.4999999999999998,-0.8660254037844388,0.2079116908177593,0.9781476007338056,0.4999999999999999,0.8660254037844387,2015
5,5,2015-01-01T17:59:46.3770000Z,315.45,400.69447678,261,2015-01-01 17:59:46,-0.9659258262890684,-0.2588190451025206,0.2079116908177593,0.9781476007338056,0.4999999999999999,0.8660254037844387,2015
6,6,2015-01-01T20:59:18.9270000Z,315.54,310.16451995,265,2015-01-01 20:59:18,-0.8660254037844386,0.5,0.2079116908177593,0.9781476007338056,0.4999999999999999,0.8660254037844387,2015
7,7,2015-01-01T23:59:00.9170000Z,313.81,325.27236839,358,2015-01-01 23:59:00,-0.2588190451025215,0.965925826289068,0.2079116908177593,0.9781476007338056,0.4999999999999999,0.8660254037844387,2015
8,8,2015-01-02T02:59:39.1170000Z,315.34,541.53808964,363,2015-01-02 02:59:39,0.4999999999999999,0.8660254037844387,0.4067366430758001,0.9135454576426008,0.4999999999999999,0.8660254037844387,2015
9,9,2015-01-02T05:57:10.5530000Z,315.75,298.02984729,232,2015-01-02 05:57:10,0.9659258262890684,0.2588190451025207,0.4067366430758001,0.9135454576426008,0.4999999999999999,0.8660254037844387,2015
10,10,2015-01-02T08:58:16.2070000Z,314.88,296.50762721,359,2015-01-02 08:58:16,0.8660254037844388,-0.4999999999999998,0.4067366430758001,0.9135454576426008,0.4999999999999999,0.8660254037844387,2015
11,11,2015-01-02T11:58:46.7500000Z,314.3,198.72386188,326,2015-01-02 11:58:46,0.258819045102521,-0.9659258262890682,0.4067366430758001,0.9135454576426008,0.4999999999999999,0.8660254037844387,2015
12,12,2015-01-02T14:59:49.3530000Z,315.9,478.15145808,309,2015-01-02 14:59:49,-0.4999999999999998,-0.8660254037844388,0.4067366430758001,0.9135454576426008,0.4999999999999999,0.8660254037844387,2015
13,13,2015-01-02T17:59:07.5670000Z,314.84,718.31229384,493,2015-01-02 17:59:07,-0.9659258262890684,-0.2588190451025206,0.4067366430758001,0.9135454576426008,0.4999999999999999,0.8660254037844387,2015
14,14,2015-01-02T20:58:19.3430000Z,316.65,533.46993352,513,2015-01-02 20:58:19,-0.8660254037844386,0.5,0.4067366430758001,0.9135454576426008,0.4999999999999999,0.8660254037844387,2015
15,15,2015-01-02T23:59:05.0830000Z,315.42,411.77509693,388,2015-01-02 23:59:05,-0.2588190451025215,0.965925826289068,0.4067366430758001,0.9135454576426008,0.4999999999999999,0.8660254037844387,2015
16,16,2015-01-03T02:59:45.3430000Z,312.9,431.21880385,356,2015-01-03 02:59:45,0.4999999999999999,0.8660254037844387,0.5877852522924731,0.8090169943749475,0.4999999999999999,0.8660254037844387,2015
17,17,2015-01-03T05:58:40.1530000Z,311.69,771.80621326,438,2015-01-03 05:58:40,0.9659258262890684,0.2588190451025207,0.5877852522924731,0.8090169943749475,0.4999999999999999,0.8660254037844387,2015
